"canonicalname","guild","citationSource","simplified_disease_1","simplified_disease_2","accepted_name","kingdom","names_to_use"
"Aabaarnia_siphulicola","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Aabaarnia siphulicola","Fungi","Aabaarnia_siphulicola"
"Abortiporus_biennis Abortiporus_biennis_f._distortus Boletus_biennis Heteroporus_biennis Polyporus_biennis Polyporus_biennis_var._distortus Polyporus_distortus","Plant_Pathogen Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534 AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","white_heart_rot","rot","Abortiporus biennis","Fungi","Abortiporus_biennis"
"Abrachium_floriforme","Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Abrachium floriforme","Fungi","Abrachium_floriforme"
"Abrothallus_boomii","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus boomii","Fungi","Abrothallus_boomii"
"Abrothallus_brattii","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus brattii","Fungi","Abrothallus_brattii"
"Abrothallus_bryoriarum","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus bryoriarum","Fungi","Abrothallus_bryoriarum"
"Abrothallus_buellianus","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus buellianus","Fungi","Abrothallus_buellianus"
"Abrothallus_caerulescens","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus caerulescens","Fungi","Abrothallus_caerulescens"
"Abrothallus_canariensis","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus canariensis","Fungi","Abrothallus_canariensis"
"Abrothallus_cetrariae","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus cetrariae","Fungi","Abrothallus_cetrariae"
"Abrothallus_doliiformis","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus doliiformis","Fungi","Abrothallus_doliiformis"
"Abrothallus_eriodermae","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus eriodermae","Fungi","Abrothallus_eriodermae"
"Abrothallus_ertzii","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus ertzii","Fungi","Abrothallus_ertzii"
"Abrothallus_etayoi","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus etayoi","Fungi","Abrothallus_etayoi"
"Abrothallus_granulatae","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus granulatae","Fungi","Abrothallus_granulatae"
"Abrothallus_halei","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus halei","Fungi","Abrothallus_halei"
"Abrothallus_hypotrachynae","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus hypotrachynae","Fungi","Abrothallus_hypotrachynae"
"Abrothallus_kamchatica","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus kamchatica","Fungi","Abrothallus_kamchatica"
"Phoma_lobariae","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus lobariae","Fungi","Abrothallus_lobariae"
"Abrothallus_macrosporus","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus macrosporus","Fungi","Abrothallus_macrosporus"
"Abrothallus_microspermus","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus microspermus","Fungi","Abrothallus_microspermus"
"Abrothallus_nephromatis","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus nephromatis","Fungi","Abrothallus_nephromatis"
"Abrothallus_bertianus Abrothallus_parmeliarum Buelliella_parmeliarum","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net)) AND Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net)) AND Esslinger_TL._2014._North_Dakota_State_University_((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))",NA,NA,"Abrothallus parmeliarum","Fungi","Abrothallus_parmeliarum"
"Abrothallus_peyritschii","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus peyritschii","Fungi","Abrothallus_peyritschii"
"Abrothallus_pezizicola","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus pezizicola","Fungi","Abrothallus_pezizicola"
"Phoma_psoromatis","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus psoromatis","Fungi","Abrothallus_psoromatis"
"Abrothallus_secedens","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus secedens","Fungi","Abrothallus_secedens"
"Abrothallus_stereocaulorum","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus stereocaulorum","Fungi","Abrothallus_stereocaulorum"
"Abrothallus_stictarum","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus stictarum","Fungi","Abrothallus_stictarum"
"Abrothallus_stroblii","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus stroblii","Fungi","Abrothallus_stroblii"
"Abrothallus_suecicus","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus suecicus","Fungi","Abrothallus_suecicus"
"Abrothallus_teloschistis","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus teloschistis","Fungi","Abrothallus_teloschistis"
"Abrothallus_tulasnei","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus tulasnei","Fungi","Abrothallus_tulasnei"
"Abrothallus_chrysanthus Buelliella_usneae","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net)) AND Esslinger_TL._2014._North_Dakota_State_University_((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))",NA,NA,"Abrothallus usneae","Fungi","Abrothallus_usneae"
"Abrothallus_welwitschii","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Abrothallus welwitschii","Fungi","Abrothallus_welwitschii"
"Absconditella_amabilis","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Absconditella amabilis","Fungi","Absconditella_amabilis"
"Absconditella_antarctica","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Absconditella antarctica","Fungi","Absconditella_antarctica"
"Absconditella_celata","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Absconditella celata","Fungi","Absconditella_celata"
"Absconditella_delutula","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Absconditella delutula","Fungi","Absconditella_delutula"
"Absconditella_lignicola","Algae_Parasite Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Absconditella lignicola","Fungi","Absconditella_lignicola"
"Absconditella_pauxilla","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Absconditella pauxilla","Fungi","Absconditella_pauxilla"
"Absconditella_sphagnorum","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Absconditella sphagnorum","Fungi","Absconditella_sphagnorum"
"Absconditella_trivialis","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Absconditella trivialis","Fungi","Absconditella_trivialis"
"Abundisporus_fuscopurpureus","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Abundisporus fuscopurpureus","Fungi","Abundisporus_fuscopurpureus"
"Abundisporus_pubertatis","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Abundisporus pubertatis","Fungi","Abundisporus_pubertatis"
"Abundisporus_quercicola","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Abundisporus quercicola","Fungi","Abundisporus_quercicola"
"Abundisporus_sclerosetosus","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Abundisporus sclerosetosus","Fungi","Abundisporus_sclerosetosus"
"Acanthobasidium_norvegicum","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Acanthobasidium norvegicum","Fungi","Acanthobasidium_norvegicum"
"Acanthobasidium_penicillatum","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Acanthobasidium penicillatum","Fungi","Acanthobasidium_penicillatum"
"Acanthobasidium_phragmitis","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Acanthobasidium phragmitis","Fungi","Acanthobasidium_phragmitis"
"Aleurodiscus_weirii","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Acanthobasidium weirii","Fungi","Acanthobasidium_weirii"
"Acanthocorticium_brueggemannii","Saprotroph","Baltazar_JM,_et_al._2015._Botany_93:453-463_((https://doi.org/10.1139/cjb-2015-0053)) AND Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Acanthocorticium brueggemannii","Fungi","Acanthocorticium_brueggemannii"
"Acanthofungus_rimosus","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Acanthofungus rimosus","Fungi","Acanthofungus_rimosus"
"Acanthostigma_scopulum Acanthostigmina_scopula Lasiosphaeria_scopula Sphaeria_scopula Tubeufia_scopula","Saprotroph","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","saprobe","saprobe","Acanthohelicospora scopula","Fungi","Acanthohelicospora_scopula"
"Acanthonitschkea_peltigericola","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Acanthonitschkea peltigericola","Fungi","Acanthonitschkea_peltigericola"
"Acanthophysellum_cf_cerussatum_BJFC_He","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Acanthophysellum","Fungi","Acanthophysellum_cf_cerussatum_BJFC_He"
"Acanthostigma_perpusillum","Saprotroph","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","saprobe","saprobe","Acanthostigma perpusillum","Fungi","Acanthostigma_perpusillum"
"Acanthostigma_revocatum","Saprotroph","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","saprobe","saprobe","Acanthostigma revocatum","Fungi","Acanthostigma_revocatum"
"Xenosporium_thaxteri","Saprotroph","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","saprobe","saprobe","Acanthostigmella thaxteri","Fungi","Acanthostigmella_thaxteri"
"Acanthostigmina_longispora","Saprotroph","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","saprobe","saprobe","Acanthostigmina longispora","Fungi","Acanthostigmina_longispora"
"Acanthostigma_minutum","Saprotroph","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","saprobe","saprobe","Acanthostigmina minuta","Fungi","Acanthostigmina_minuta"
"Acanthothecis_abaphoides","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis","Fungi","Acanthothecis_abaphoides"
"Acanthothecis_africana","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis africana","Fungi","Acanthothecis_africana"
"Acanthothecis_aquilonia","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis aquilonia","Fungi","Acanthothecis_aquilonia"
"Acanthothecis_archeri","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis archeri","Fungi","Acanthothecis_archeri"
"Acanthothecis_aurantiaca","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis aurantiaca","Fungi","Acanthothecis_aurantiaca"
"Acanthothecis_borealis","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis borealis","Fungi","Acanthothecis_borealis"
"Acanthothecis_celata","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis celata","Fungi","Acanthothecis_celata"
"Acanthothecis_coccinea","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis coccinea","Fungi","Acanthothecis_coccinea"
"Acanthothecis_collateralis","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis collateralis","Fungi","Acanthothecis_collateralis"
"Acanthothecis_consocians","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis","Fungi","Acanthothecis_consocians"
"Acanthothecis_dialeuca","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis dialeuca","Fungi","Acanthothecis_dialeuca"
"Acanthothecis_dialeucoides","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis dialeucoides","Fungi","Acanthothecis_dialeucoides"
"Acanthothecis_gyridia","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis gyridia","Fungi","Acanthothecis_gyridia"
"Acanthothecis_kalbii","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis kalbii","Fungi","Acanthothecis_kalbii"
"Acanthothecis_nivalis","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis nivalis","Fungi","Acanthothecis_nivalis"
"Acanthothecis_pruinocarpa","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis pruinocarpa","Fungi","Acanthothecis_pruinocarpa"
"Acanthothecis_socotrina","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis socotrana","Fungi","Acanthothecis_socotrana"
"Acanthothecis_subaggregans","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis subaggregans","Fungi","Acanthothecis_subaggregans"
"Acanthothecis_subclavulifera","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis subclavulifera","Fungi","Acanthothecis_subclavulifera"
"Acanthothecis_tetraphora","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthothecis tetraphora","Fungi","Acanthothecis_tetraphora"
"Acanthotrema_bicellulare","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthotrema bicellulare","Fungi","Acanthotrema_bicellulare"
"Acanthotrema_brasilianum","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthotrema brasilianum","Fungi","Acanthotrema_brasilianum"
"Acanthotrema_frischii","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthotrema frischii","Fungi","Acanthotrema_frischii"
"Acanthotrema_kalbii","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acanthotrema kalbii","Fungi","Acanthotrema_kalbii"
"Acarella_costaricensis","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","epiphytic_brown_spot","epiphytic_brown_spot","Acarella costaricensis","Fungi","Acarella_costaricensis"
"Acaroconium_punctiforme","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Acaroconium punctiforme","Fungi","Acaroconium_punctiforme"
"Acarocybellina_arengae Brachysporiella_arengae Sporidesmium_arengae","Biotrophic_plant_pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","black_mildew","black_mildew","Acarocybellina arengae","Fungi","Acarocybellina_arengae"
"Acaromyces_ingoldii","Insect_Pathogen Plant_Pathogen","Boekhout_T,_et_al._2003._International_Journal_of_Systematic_and_Evolutionary_Microbiology_53:1655-1664_((https://doi.org/10.1099/ijs.0.02434-0)) AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","gall","gall","Acaromyces ingoldii","Fungi","Acaromyces_ingoldii"
"Acarospora_affinis","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora affinis","Fungi","Acarospora_affinis"
"Acarospora_badiofusca","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora badiofusca","Fungi","Acarospora_badiofusca"
"Acarospora_brattiae","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora brattiae","Fungi","Acarospora_brattiae"
"Acarospora_brouardii","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora","Fungi","Acarospora_brouardii"
"Acarospora_bullata","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora bullata","Fungi","Acarospora_bullata"
"Acarospora_calcarea","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora calcarea","Fungi","Acarospora_calcarea"
"Acarospora_capensis","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora","Fungi","Acarospora_capensis"
"Acarospora_cervina","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora cervina","Fungi","Acarospora_cervina"
"Acarospora_chrysops","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora chrysops","Fungi","Acarospora_chrysops"
"Acarospora_contigua","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora contigua","Fungi","Acarospora_contigua"
"Acarospora_contraria","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora contraria","Fungi","Acarospora_contraria"
"Acarospora_deserticola","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora deserticola","Fungi","Acarospora_deserticola"
"Acarospora_elevata","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora elevata","Fungi","Acarospora_elevata"
"Acarospora_finckei","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora","Fungi","Acarospora_finckei"
"Acarospora_flavisparsa","Lichen_Parasite Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora flavisparsa","Fungi","Acarospora_flavisparsa"
"Acarospora_fuscata","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora fuscata","Fungi","Acarospora_fuscata"
"Acarospora_gallica","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora gallica","Fungi","Acarospora_gallica"
"Acarospora_glaucocarpa","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora glaucocarpa","Fungi","Acarospora_glaucocarpa"
"Acarospora_gwynnii","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora gwynnii","Fungi","Acarospora_gwynnii"
"Acarospora_gypsi-deserti","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora gypsi-deserti","Fungi","Acarospora_gypsi-deserti"
"Acarospora_heufleriana","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora heufleriana","Fungi","Acarospora_heufleriana"
"Acarospora_hilaris","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora hilaris","Fungi","Acarospora_hilaris"
"Acarospora_hospitans","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora hospitans","Fungi","Acarospora_hospitans"
"Acarospora_impressula","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora impressula","Fungi","Acarospora_impressula"
"Acarospora_insolata","Lichen_Parasite Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora insolata","Fungi","Acarospora_insolata"
"Acarospora_interjecta","Lichen_Parasite Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora interjecta","Fungi","Acarospora_interjecta"
"Acarospora_interspersa","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora interspersa","Fungi","Acarospora_interspersa"
"Acarospora_janae","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora janae","Fungi","Acarospora_janae"
"Acarospora_laqueata","Lichenized","Flagey,_C._1892._Revue_Mycologique_14:70-79_((https://bibdigital.rjb.csic.es/records/item/11207-revue-mycologique-quatorzieme-annee-1892))",NA,NA,"Acarospora laqueata","Fungi","Acarospora_laqueata"
"Acarospora_macrospora","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora macrospora","Fungi","Acarospora_macrospora"
"Aspicilia_moenium","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora moenium","Fungi","Acarospora_moenium"
"Acarospora_nevadensis","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora nevadensis","Fungi","Acarospora_nevadensis"
"Acarospora_nicolai","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora nicolai","Fungi","Acarospora_nicolai"
"Acarospora_nitrophila","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora nitrophila","Fungi","Acarospora_nitrophila"
"Acarospora_nodulosa","Lichen_Parasite Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora nodulosa","Fungi","Acarospora_nodulosa"
"Acarospora_obnubila","Lichen_Parasite Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Acarospora obnubila","Fungi","Acarospora_obnubila"
