"canonicalname","guild","citationSource","simplified_disease_1","simplified_disease_2","accepted_name","kingdom","names_to_use"
"Juglanconis_juglandina Melanconium_juglandinum","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND The_American_Phytopathological_Society_Common_Names_of_Plant_Diseases_((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))","black_pustular_dieback NA","dieback NA","Juglanconis juglandina","Fungi","Juglanconis_juglandina"
"Juglanconis_oblonga","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","canker_dieback","canker_dieback","Juglanconis oblonga","Fungi","Juglanconis_oblonga"
"Juglanconis_pterocaryae","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","canker_dieback_wood_necrosis","canker_dieback_wood_necrosis","Juglanconis pterocaryae","Fungi","Juglanconis_pterocaryae"
"Julella_asema","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Julella","Fungi","Julella_asema"
"Julella_geminella","Saprotroph","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Julella","Fungi","Julella_geminella"
"Julella_lactea","Saprotroph","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Julella lactea","Fungi","Julella_lactea"
"Julella_sericea","Saprotroph","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Julella sericea","Fungi","Julella_sericea"
"Julella_taxodii","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Julella","Fungi","Julella_taxodii"
"Julella_variiformis","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Julella","Fungi","Julella_variiformis"
"Julella_vitrispora","Saprotroph","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Julella vitrispora","Fungi","Julella_vitrispora"
"Entorrhiza_aschersoniana","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","smut","smut","Juncorrhiza aschersoniana","Fungi","Juncorrhiza_aschersoniana"
