"accepted_name","guild","guild_count","tax_level","phylum","class","order","family"
"Acrosporium","Biotrophic_plant_pathogen",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Acrostalagmus","Endophyte Fungal_Parasite Insect_Pathogen Saprotroph",4,"B_genus","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae"
"Acrostaphylus","Fungal_Parasite",1,"B_genus","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae"
"Acrotheca","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae"
"Actiniceps","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Pterulaceae"
"Actinoplaca","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Gomphillaceae"
"Adelococcus","Lichen_Parasite",1,"B_genus","Ascomycota","Eurotiomycetes","Verrucariales","Adelococcaceae"
"Adelolecia","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae"
"Aderkomyces","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Gomphillaceae"
"Adisciso","Necrotrophic_plant_pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Amphisphaeriales","Discosiaceae"
"Aecidium","Biotrophic_plant_pathogen",1,"B_genus","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae"
"Aegeritella","Insect_Pathogen",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Aequabiliella","Plant_Pathogen",1,"B_genus","Ascomycota","Eurotiomycetes","Phaeomoniellales","Celotheliaceae"
"Afroboletus","Ectomycorrhizal",1,"B_genus","Basidiomycota","Agaricomycetes","Boletales","Boletaceae"
"Afrocantharellus","Ectomycorrhizal",1,"B_genus","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae"
"Agaricus","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae"
"Agonimia","Lichenized Saprotroph",2,"B_genus","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae"
"Agrocybe","Dung_Saprotroph Plant_Pathogen Saprotroph Wood_Saprotroph",4,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae"
"Agyrium","Algae_Parasite",1,"B_genus","Ascomycota","Lecanoromycetes","Pertusariales","Agyriaceae"
"Ahmadiago","Plant_Pathogen",1,"B_genus","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae"
"Ahtiana","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae"
"Ainoa","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Baeomycetales","Baeomycetaceae"
"Aizoago","Plant_Pathogen",1,"B_genus","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae"
"Ajellomyces","Human_Pathogen",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Akanthomyces","Endophyte Insect_Pathogen Plant_Pathogen",3,"B_genus","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae"
"Alanphillipsia","Endophyte Plant_Pathogen",2,"B_genus","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae"
"Alatosessilispora","Epiphyte",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Albatrellopsis","Ectomycorrhizal",1,"B_genus","Basidiomycota","Agaricomycetes","Russulales","Albatrellaceae"
"Albatrellus","Ectomycorrhizal Wood_Saprotroph",2,"B_genus","Basidiomycota","Agaricomycetes","Russulales","Albatrellaceae"
"Albifimbria","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae"
"Albomagister","Ectomycorrhizal",1,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae"
"Albonectria","Endophyte Necrotrophic_plant_pathogen",2,"B_genus","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae"
"Alectoria","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae"
"Alessioporus","Ectomycorrhizal",1,"B_genus","Basidiomycota","Agaricomycetes","Boletales","Boletaceae"
"Aleuria","Saprotroph",1,"B_genus","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae"
"Aleurodiscus","Saprotroph Wood_Saprotroph",2,"B_genus","Basidiomycota","Agaricomycetes","Russulales","Stereaceae"
"Alfaria","Necrotrophic_plant_pathogen Saprotroph",2,"B_genus","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis"
"Alina","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Incertae sedis","Alinaceae"
"Alisea","Saprotroph",1,"B_genus","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae"
"Allantonectria","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Incertae sedis","Incertae sedis"
"Allantoparmelia","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae"
"Allantophomoides","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae"
"Allantophomopsiella","Plant_Pathogen",1,"B_genus","Ascomycota","Leotiomycetes","Phacidiales","Phacidiaceae"
"Allantophomopsis","Plant_Pathogen",1,"B_genus","Ascomycota","Leotiomycetes","Phacidiales","Phacidiaceae"
"Allelochaeta","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Amphisphaeriales","Sporocadaceae"
"Allocalicium","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae"
"Allocetraria","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae"
